resp_id,survey_location,period,post,treated,did,monthly_transport_exp,ticket_expenditure,gender,female,age,profession,trip_purpose,mode,trip_dist_km,trip_time_min,trip_fare,trips_per_week,wait_min,access_dist_m,n_2w,n_4w,n_cycle,hh_motor_vehicles,income_imputed,vi_income,vi_no_vehicle,vi_elderly,brt_experience,employed,VI,VI_did
471,13. Mudhal Bypass,1,1,0,0,4.04034390740766,0.0,Male,0,40,Self-employed,Work,Bicycle,5.0,20,0,5,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
472,26. Guru Harkrishan School,0,0,0,0,0.0,0.0,Male,0,32,Self-employed,Work,Bicycle,6.0,40,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
472,26. Guru Harkrishan School,1,1,0,0,4.741687294826181,0.0,Male,0,32,Self-employed,Work,Bicycle,6.0,40,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
473,Chattarwind_Gate,0,0,0,0,0.0,0.0,Male,0,35,Labourer,Work,Bicycle,6.0,40,0,7,0,0,0,0,1,0,13650,0.7160696167954421,1,0,Yes,1,0.5720232055984807,0.0
473,Chattarwind_Gate,1,1,0,0,1.1921752619774462,0.0,Male,0,35,Labourer,Work,Bicycle,6.0,40,0,7,0,0,0,0,1,0,13650,0.7160696167954421,1,0,Yes,1,0.5720232055984807,0.0
474,11. Loharka Road,0,0,0,0,0.0,0.0,Male,0,40,Labourer,Work,Bicycle,7.0,20,0,7,0,0,1,0,1,1,13650,0.7160696167954421,0,0,No,1,0.2386898722651473,0.0
474,11. Loharka Road,1,1,0,0,1.3409460987276534,0.0,Male,0,40,Labourer,Work,Bicycle,7.0,20,0,7,0,0,1,0,1,1,13650,0.7160696167954421,0,0,No,1,0.2386898722651473,0.0
475,32. Railway Station,0,0,0,0,0.0,0.0,Female,1,30,Self-employed,Work,Bicycle,8.0,20,0,6,0,0,0,0,1,0,6374,1.0,1,0,No,1,0.6666666666666666,0.0
475,32. Railway Station,1,1,0,0,2.7807554578125737,0.0,Female,1,30,Self-employed,Work,Bicycle,8.0,20,0,6,0,0,0,0,1,0,6374,1.0,1,0,No,1,0.6666666666666666,0.0
476,5. Ghee Mandi Chowk,0,0,0,0,0.0,0.0,Male,0,40,Labourer,Work,Bicycle,11.0,45,0,6,0,0,1,0,1,1,13650,0.7160696167954421,0,0,Yes,1,0.2386898722651473,0.0
476,5. Ghee Mandi Chowk,1,1,0,0,3.047046037608313,0.0,Male,0,40,Labourer,Work,Bicycle,11.0,45,0,6,0,0,1,0,1,1,13650,0.7160696167954421,0,0,Yes,1,0.2386898722651473,0.0
